Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Wettercodekategorie
2018-07-25,1,28.425,11,61,7
2018-07-26,0,28.875,12,5,1
2018-07-27,0,275.875,16,5,1
2018-07-28,3,28.75,11,95,10
2018-07-29,0,24.55,6,,
2018-07-30,6,277.875,10,21,3
2018-07-31,5,312.875,11,,
2018-08-01,0,237.625,10,0,1
2018-08-02,0,261.875,10,0,1
2018-08-03,1,276.625,10,0,1
2018-08-04,4,251.375,12,,
2018-08-05,7,21. Mar,14,61,7
2018-08-06,0,23. Jan,5,0,1
2018-08-07,0,32.671.428,7,,
2018-08-08,4,28.15,10,,
2018-08-09,5,24.575,13,21,3
2018-08-10,5,17.325,16,61,7
2018-08-11,6,15. May,13,61,7
2018-08-12,7,18.375,9,61,7
2018-08-13,7,219.125,8,61,7
2018-08-14,5,21. Aug,16,61,7
2018-08-15,6,219.875,13,21,3
2018-08-16,3,25.075,9,0,1
2018-08-17,7,19.55,9,61,7
2018-08-18,4,21.75,10,,
2018-08-19,7,213.875,10,,
2018-08-20,6,19. Jun,13,21,3
2018-08-21,4,197.875,8,,
2018-08-22,0,266.375,8,,
2018-08-23,5,22.575,11,5,1
2018-08-24,5,17. Jan,15,61,7
2018-08-25,7,12. Sep,6,63,7
2018-08-26,3,169.875,12,21,3
2018-08-27,6,165.375,13,63,7
2018-08-28,6,186.125,9,61,7
2018-08-29,0,22. Jul,12,0,1
2018-08-30,7,154.625,13,63,7
2018-08-31,4,18.725,11,0,1
2018-09-01,2,181.125,8,,
2018-09-02,1,18.95,11,5,1
2018-09-03,2,210.125,13,21,3
2018-09-04,1,20.525,11,5,1
2018-09-05,2,202.875,11,0,1
2018-09-06,0,21.275,11,0,1
2018-09-07,7,17.475,12,61,7
2018-09-10,5,192.375,12,,
2018-09-11,7,16.55,12,61,7
2018-09-12,7,14. Mar,11,61,7
2018-09-13,4,173.375,7,0,1
2018-09-14,3,171.125,9,,
2018-09-21,6,14.957.142,16,61,7
2018-09-22,4,13.025,20,61,7
2018-09-23,6,Nov 65,6,61,7
2018-09-24,2,112.875,17,21,3
2018-09-25,3,127.625,9,0,1
2018-09-26,7,142.375,16,61,7
2018-09-27,7,17. Jun,13,0,1
2018-09-28,1,128.625,15,21,3
2018-09-29,6,13. Jan,10,61,7
2018-09-30,5,139.625,12,21,3
2018-10-01,5,111.625,12,21,3
2018-10-02,6,10,18,61,7
2018-10-03,4,122.875,18,21,3
2018-10-04,7,142.625,8,61,7
2018-10-05,0,181.125,8,5,1
2018-10-06,1,143.375,6,10,2
2018-10-07,1,11. Apr,10,5,1
2018-10-08,5,130.625,10,,
2018-10-09,3,15.125,9,0,1
2018-10-10,0,17. Jan,6,10,2
2018-10-11,0,19.633.333,7,0,1
2018-10-12,0,214.125,7,,
2018-10-15,0,207.875,6,0,1
2018-10-16,7,190.625,6,10,2
2018-10-17,2,208.375,5,5,1
2018-10-18,1,12.816.666,12,5,1
2018-10-19,3,10.925,6,5,1
2018-10-22,2,11. Jan,14,0,1
2018-10-23,7,11.925,23,63,7
2018-10-24,4,10.357.142,11,0,1
2018-10-25,6,11.125,19,21,3
2018-10-26,7,10.325,9,63,7
2018-10-27,7,58.375,13,63,7
2018-10-28,2,55.875,14,0,1
2018-10-29,7,73.625,17,21,3
2018-10-30,7,106.375,11,20,3
2018-10-31,5,09. Sep,10,0,1
2018-11-01,5,11.725,8,0,1
2018-11-02,6,10.675,12,61,7
2018-11-03,0,08. Jul,5,10,2
2018-11-04,8,8.225,5,10,2
2018-11-05,8,104.125,6,10,2
2018-11-06,7,85.375,5,45,5
2018-11-07,1,110.875,4,28,3
2018-11-08,6,11.625,7,20,3
2018-11-09,7,09. Mar,6,61,7
2018-11-10,7,11.425,8,61,7
2018-11-11,7,122.375,8,61,7
2018-11-12,7,105.375,4,61,7
2018-11-13,7,10.325,9,61,7
2018-11-14,7,84.375,7,10,2
2018-11-15,2,Oct 35,6,5,1
2018-11-16,0,82.625,7,10,2
2018-11-17,0,5.375,10,10,2
2018-11-18,7,Jun 75,14,0,1
2018-11-19,6,5.775,21,61,7
2018-11-20,7,4.725,16,,
2018-11-21,7,03. May,12,0,1
2018-11-22,8,15.125,9,21,3
2018-11-23,8,18.875,6,10,2
2018-11-24,8,3.025,4,10,2
2018-11-25,8,51.625,12,53,6
2018-11-26,7,Apr 95,12,61,7
2018-11-27,8,21.625,3,,
2018-11-28,3,01. May,10,5,1
2018-11-29,7,03. Mar,10,61,7
2018-11-30,5,78.375,8,,
2018-12-01,7,71.625,8,61,7
2018-12-02,7,Aug 15,8,61,7
2018-12-03,7,10.825,12,61,7
2018-12-04,1,5.442.857,14,21,3
2018-12-05,1,37.375,6,0,1
2018-12-06,7,6.725,7,61,7
2018-12-07,7,10.825,9,61,7
2018-12-08,8,7.475,18,61,7
2018-12-09,7,Jun 95,18,61,7
2018-12-10,5,49.125,15,21,3
2018-12-11,6,46.375,11,,
2018-12-12,7,4.175,12,21,3
2018-12-13,7,2.925,10,61,7
2018-12-14,7,2.175,12,22,3
2018-12-15,7,0.5375,7,,
2018-12-16,7,0.2,9,,
2018-12-17,8,0.65,6,20,3
2018-12-18,7,53.125,6,21,3
2018-12-19,7,3.175,9,61,7
2018-12-20,7,48.875,4,53,6
2018-12-21,7,61.125,9,61,7
2018-12-22,8,04. Mar,4,,
2018-12-23,7,Jun 45,9,61,7
2018-12-24,7,02. May,10,22,3
2018-12-25,7,63.625,16,,
2018-12-26,7,79.125,12,0,1
2018-12-27,7,7.125,12,20,3
2018-12-28,7,73.125,11,61,7
2018-12-29,8,7.675,10,61,7
2018-12-30,2,6.675,16,,
2018-12-31,7,73.875,13,45,5
2019-01-01,6,62.875,26,21,3
2019-01-02,0,39.125,20,0,1
2019-01-03,2,0.725,6,,
2019-01-04,7,May 55,15,61,7
2019-01-05,5,Jul 85,8,21,3
2019-01-06,7,Mar 65,7,61,7
2019-01-07,8,59.375,8,55,6
2019-01-08,6,05. May,19,21,3
2019-01-09,7,31.375,22,0,1
2019-01-10,7,01. Apr,7,,
2019-01-11,6,68.625,15,61,7
2019-01-12,7,60.875,13,61,7
2019-01-13,7,76.875,20,61,7
2019-01-14,2,19.375,18,5,1
2019-01-15,7,66.625,18,61,7
2019-01-16,7,72.125,14,61,7
2019-01-17,7,41.875,15,61,7
2019-01-18,1,12.625,7,0,1
2019-01-19,2,0.925,4,49,5
2019-01-20,1,0.85,4,10,2
2019-01-21,6,-0.425,9,71,8
2019-01-22,5,0.1375,9,10,2
2019-01-23,4,-3.075,7,10,2
2019-01-24,8,-48.125,6,22,3
2019-01-25,8,-33.875,6,71,8
2019-01-26,7,38.375,7,61,7
2019-01-27,8,49.375,7,61,7
2019-01-28,8,Feb 75,5,20,3
2019-01-29,6,1.575,7,68,7
2019-01-30,5,01. Jun,10,,
2019-01-31,7,01. Apr,7,20,3
2019-02-01,7,-0.075,12,10,2
2019-02-02,8,17.375,10,10,2
2019-02-03,1,02. May,9,0,1
2019-02-04,7,Feb 95,12,,
2019-02-05,7,46.375,11,61,7
2019-02-06,7,36.625,11,61,7
2019-02-07,7,60.375,10,61,7
2019-02-08,7,06. May,11,61,7
2019-02-09,7,07. Apr,18,61,7
2019-02-10,7,5.125,7,61,7
2019-02-11,2,59.375,16,0,1
2019-02-12,4,5.225,12,20,3
2019-02-13,8,75.375,13,20,3
2019-02-14,3,07. Apr,10,10,2
2019-02-15,0,113.375,7,0,1
2019-02-16,0,10.425,12,5,1
2019-02-17,3,11.625,5,5,1
2019-02-18,0,11.725,7,0,1
2019-02-19,7,Jun 75,15,63,7
2019-02-20,7,Jul 34,11,61,7
2019-02-21,8,7.675,12,61,7
2019-02-22,4,4.125,11,0,1
2019-02-23,6,4.775,6,,
2019-02-24,0,96.875,9,5,1
2019-02-25,0,98.125,9,21,3
2019-02-26,0,Oct 85,7,5,1
2019-02-27,1,134.125,10,5,1
2019-02-28,5,78.875,11,21,3
2019-03-01,7,56.375,8,,
2019-03-02,7,05. Apr,7,,
2019-03-03,6,8.975,13,61,7
2019-03-04,6,75.375,20,61,7
2019-03-05,5,68.875,17,61,7
2019-03-06,7,67.625,9,61,7
2019-03-07,6,Sep 65,19,61,7
2019-03-08,5,68.875,26,61,7
2019-03-09,6,Jun 35,22,63,7
2019-03-10,6,68.875,10,21,3
2019-03-11,5,4.075,6,61,7
2019-03-12,6,5.425,13,61,7
2019-03-13,7,05. Aug,15,63,7
2019-03-14,7,55.625,12,61,7
2019-03-15,7,74.875,25,61,7
2019-03-16,7,55.875,11,61,7
2019-03-17,5,07. Apr,20,21,3
2019-03-18,5,6.325,21,61,7
2019-03-19,3,70.125,11,5,1
2019-03-20,8,82.875,12,53,6
2019-03-21,8,10.225,14,10,2
2019-03-22,7,09. Jul,6,20,3
2019-03-23,6,102.625,15,10,2
2019-03-24,4,76.625,12,0,1
2019-03-25,4,73.375,17,21,3
2019-03-26,7,78.375,16,21,3
2019-03-27,8,8.375,14,61,7
2019-03-28,8,10. Jul,9,,
2019-03-29,5,121.125,11,21,3
2019-03-30,1,15. May,11,5,1
2019-03-31,0,76.625,13,5,1
2019-04-01,0,08. May,13,5,1
2019-04-02,0,11.685.714,10,5,1
2019-04-03,7,9.875,9,63,7
2019-04-05,2,120.625,10,5,1
2019-04-06,0,127.625,10,10,2
2019-04-07,0,128.375,8,5,1
2019-04-08,1,91.125,16,5,1
2019-04-09,1,66.625,15,5,1
2019-04-10,0,6.275,14,5,1
2019-04-11,7,53.375,12,22,3
2019-04-12,5,52.125,11,22,3
2019-04-13,7,3.475,16,68,7
2019-04-14,7,59.375,16,61,7
2019-04-15,2,Jul 35,14,5,1
2019-04-16,0,84.375,15,5,1
2019-04-17,0,116.625,14,5,1
2019-04-18,0,130.125,14,5,1
2019-04-19,0,14. Jan,12,5,1
2019-04-20,0,13.125,8,,
2019-04-21,0,168.125,10,,
2019-04-22,0,15.775,16,5,1
2019-04-23,0,14.225,19,5,1
2019-04-24,2,17.65,10,21,3
2019-04-25,0,196.125,7,,
2019-04-26,7,14.975,16,95,10
2019-04-27,5,162.125,13,0,1
2019-04-28,7,Sep 85,10,61,7
2019-04-29,3,136.125,12,10,2
2019-04-30,6,17.65,11,0,1
2019-05-01,7,92.625,15,20,3
2019-05-02,7,Aug 95,16,61,7
2019-05-03,6,87.625,18,21,3
2019-05-04,5,07. Mar,15,61,7
2019-05-05,5,106.875,15,,
2019-05-06,3,91.625,18,61,7
2019-05-07,3,96.625,14,21,3
2019-05-08,6,128.125,8,61,7
2019-05-09,6,15,7,61,7
2019-05-10,7,104.625,11,61,7
2019-05-11,1,11.525,9,,
2019-05-12,1,130.125,16,5,1
2019-05-13,1,127.125,11,5,1
2019-05-14,7,123.375,9,,
2019-05-15,2,13. Sep,11,,
2019-05-16,7,12.475,15,61,7
2019-05-17,7,Nov 95,11,10,2
2019-05-18,3,164.875,13,5,1
2019-05-19,4,142.375,12,10,2
2019-05-20,3,168.125,9,28,3
2019-05-21,7,16.425,10,61,7
2019-05-22,6,12. Jan,15,61,7
2019-05-23,5,182.375,10,0,1
2019-05-24,2,184.125,17,0,1
2019-05-25,7,135.375,14,,
2019-05-26,7,13.625,10,61,7
2019-05-27,6,152.625,13,,
2019-05-28,6,131.625,12,,
2019-05-29,3,133.625,8,0,1
2019-05-30,7,140.125,9,61,7
2019-05-31,7,18.85,14,,
2019-06-01,6,195.625,15,0,1
2019-06-02,2,24.35,8,,
2019-06-03,6,22.225,12,21,3
2019-06-04,7,160.625,10,61,7
2019-06-05,5,229.125,11,,
2019-06-06,6,19. May,13,61,7
2019-06-07,1,17.45,10,,
2019-06-08,7,162.375,13,61,7
2019-06-09,5,18.65,10,,
2019-06-10,7,16.125,14,61,7
2019-06-11,6,181.375,6,95,10
2019-06-12,7,166.625,10,95,10
2019-06-13,0,22.175,11,,
2019-06-14,5,22. Sep,9,95,10
2019-06-15,7,182.125,12,95,10
2019-06-16,6,203.875,8,0,1
2019-06-17,3,21.875,9,,
2019-06-18,5,251.125,6,95,10
2019-06-19,3,25.95,8,17,2
2019-06-20,6,19.275,8,21,3
2019-06-21,6,181.625,11,,
2019-06-22,6,17.025,9,5,1
2019-06-23,1,20.375,12,5,1
2019-06-24,6,21.875,13,,
2019-06-25,3,28.775,7,,
2019-06-26,0,260.375,16,5,1
2019-06-27,6,17.175,14,,
2019-06-28,1,20.225,7,,
2019-06-29,0,240.375,8,0,1
2019-06-30,0,273.375,19,5,1
2019-07-01,5,20.25,20,0,1
2019-07-02,6,151.875,18,21,3
2019-07-03,5,16. May,13,21,3
2019-07-04,7,159.625,15,61,7
2019-07-05,7,157.375,13,61,7
2019-07-06,7,159.125,17,61,7
2019-07-07,7,144.625,16,,
2019-07-08,7,160.125,15,61,7
2019-07-09,7,16.625,13,20,3
2019-07-10,1,192.125,11,,
2019-07-11,7,176.125,6,53,6
2019-07-12,7,18.475,7,61,7
2019-07-13,7,19. Sep,12,20,3
2019-07-14,8,153.625,9,20,3
2019-07-15,7,155.875,16,,
2019-07-16,5,191.125,14,0,1
2019-07-17,4,175.375,6,0,1
2019-07-18,6,21.25,8,0,1
2019-07-19,6,210.875,11,21,3
2019-07-20,7,24.35,14,95,10
2019-07-21,8,18. Sep,16,21,3
2019-07-22,7,166.375,5,61,7
2019-07-23,0,26. Jan,9,0,1
2019-07-24,0,276.875,10,0,1
2019-07-25,6,29.725,11,,
2019-07-26,0,26.925,14,5,1
2019-07-27,4,235.375,21,5,1
2019-07-28,3,23.35,14,5,1
2019-07-29,6,25.25,7,61,7
2019-07-30,7,207.375,8,61,7
2019-07-31,6,20.45,7,61,7
2019-08-01,5,210.625,9,61,7
